angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.05,,"[553, 140, 336, 414]",,0.0,,0.12,,0.4,,0.3,,0.08,,0.06,
0.05,,"[553, 146, 327, 393]",,0.0,,0.04,,0.02,,0.84,,0.04,,0.01,
0.11,,"[544, 142, 332, 398]",,0.0,,0.05,,0.01,,0.74,,0.07,,0.01,
0.07,,"[541, 166, 325, 404]",,0.0,,0.18,,0.24,,0.16,,0.29,,0.07,
0.19,,"[529, 168, 336, 402]",,0.0,,0.17,,0.14,,0.2,,0.25,,0.04,
0.11,,"[530, 152, 340, 430]",,0.0,,0.14,,0.48,,0.1,,0.06,,0.12,
0.1,,"[533, 159, 341, 433]",,0.0,,0.12,,0.37,,0.13,,0.15,,0.11,
0.13,,"[535, 166, 337, 416]",,0.0,,0.13,,0.25,,0.36,,0.09,,0.04,
0.11,,"[538, 165, 334, 410]",,0.0,,0.06,,0.31,,0.42,,0.07,,0.04,
0.05,,"[538, 160, 337, 421]",,0.0,,0.06,,0.6,,0.18,,0.07,,0.04,
0.15,,"[540, 160, 335, 414]",,0.0,,0.15,,0.46,,0.1,,0.1,,0.05,
0.1,,"[542, 142, 347, 443]",,0.0,,0.34,,0.2,,0.05,,0.15,,0.16,
0.15,,"[547, 142, 341, 430]",,0.0,,0.19,,0.16,,0.13,,0.22,,0.14,
0.15,,"[557, 143, 331, 409]",,0.0,,0.14,,0.05,,0.42,,0.17,,0.07,
0.1,,"[553, 146, 335, 418]",,0.0,,0.13,,0.18,,0.35,,0.18,,0.07,
0.22,,"[549, 143, 335, 415]",,0.0,,0.19,,0.16,,0.17,,0.1,,0.15,
0.11,,"[556, 153, 323, 396]",,0.0,,0.25,,0.04,,0.29,,0.25,,0.06,
0.08,,"[550, 146, 327, 402]",,0.0,,0.19,,0.02,,0.47,,0.19,,0.04,
0.05,,"[548, 139, 337, 415]",,0.0,,0.21,,0.06,,0.21,,0.17,,0.29,
0.11,,"[550, 146, 329, 410]",,0.0,,0.17,,0.07,,0.2,,0.2,,0.24,
0.09,,"[544, 145, 338, 414]",,0.0,,0.2,,0.05,,0.3,,0.25,,0.11,
0.05,,"[551, 150, 328, 407]",,0.0,,0.15,,0.23,,0.21,,0.17,,0.19,
0.1,,"[547, 155, 332, 397]",,0.0,,0.1,,0.02,,0.62,,0.15,,0.02,
0.07,,"[551, 161, 330, 393]",,0.0,,0.12,,0.04,,0.57,,0.17,,0.03,
0.12,,"[551, 163, 327, 388]",,0.0,,0.11,,0.04,,0.56,,0.14,,0.02,
0.11,,"[543, 155, 336, 405]",,0.0,,0.13,,0.06,,0.46,,0.19,,0.05,
0.12,,"[546, 147, 333, 413]",,0.0,,0.14,,0.1,,0.32,,0.21,,0.11,
0.13,,"[547, 154, 330, 407]",,0.0,,0.24,,0.06,,0.16,,0.31,,0.1,
